,country,year,sex,age,suicides_no,population,crude_rate_per_100k
0,Albania,1985,female,15-24,193,277900.0,13.185093722737907
1,Albania,1985,female,25-34,193,246800.0,13.185093722737907
2,Albania,1985,female,35-54,193,267500.0,13.185093722737907
3,Albania,1985,female,05-14,193,298300.0,13.185093722737907
4,Albania,1985,female,55-74,193,138700.0,13.185093722737907
5,Albania,1985,female,75+,193,34200.0,13.185093722737907
6,Albania,1985,male,15-24,193,301400.0,13.185093722737907
7,Albania,1985,male,25-34,193,264200.0,13.185093722737907
8,Albania,1985,male,35-54,193,296700.0,13.185093722737907
9,Albania,1985,male,05-14,193,325800.0,13.185093722737907
10,Albania,1985,male,55-74,193,132500.0,13.185093722737907
11,Albania,1985,male,75+,193,21100.0,13.185093722737907
12,Albania,1986,female,15-24,193,283900.0,13.185093722737907
13,Albania,1986,female,25-34,193,252100.0,13.185093722737907
14,Albania,1986,female,35-54,193,273200.0,13.185093722737907
15,Albania,1986,female,05-14,193,304700.0,13.185093722737907
16,Albania,1986,female,55-74,193,141700.0,13.185093722737907
17,Albania,1986,female,75+,193,34900.0,13.185093722737907
18,Albania,1986,male,15-24,193,306700.0,13.185093722737907
19,Albania,1986,male,25-34,193,269000.0,13.185093722737907
20,Albania,1986,male,35-54,193,302000.0,13.185093722737907
21,Albania,1986,male,05-14,193,331600.0,13.185093722737907
22,Albania,1986,male,55-74,193,134800.0,13.185093722737907
23,Albania,1986,male,75+,193,21400.0,13.185093722737907
24,Albania,1987,female,15-24,14,289700.0,4.832585433206766
25,Albania,1987,female,25-34,4,257200.0,1.5552099533437014
26,Albania,1987,female,35-54,6,278800.0,2.1520803443328553
27,Albania,1987,female,05-14,0,311000.0,0.0
28,Albania,1987,female,55-74,0,144600.0,0.0
29,Albania,1987,female,75+,1,35600.0,2.808988764044944
30,Albania,1987,male,15-24,21,312900.0,6.7114093959731544
31,Albania,1987,male,25-34,9,274300.0,3.281079110462997
32,Albania,1987,male,35-54,16,308000.0,5.194805194805195
33,Albania,1987,male,05-14,0,338200.0,0.0
34,Albania,1987,male,55-74,1,137500.0,0.7272727272727273
35,Albania,1987,male,75+,1,21800.0,4.587155963302752
36,Albania,1988,female,15-24,8,295600.0,2.706359945872801
37,Albania,1988,female,25-34,5,262400.0,1.9054878048780488
38,Albania,1988,female,35-54,4,284500.0,1.4059753954305798
39,Albania,1988,female,05-14,0,317200.0,0.0
40,Albania,1988,female,55-74,3,147500.0,2.0338983050847457
41,Albania,1988,female,75+,2,36400.0,5.4945054945054945
42,Albania,1988,male,15-24,17,319200.0,5.325814536340852
43,Albania,1988,male,25-34,5,279900.0,1.7863522686673812
44,Albania,1988,male,35-54,14,314100.0,4.457179242279529
45,Albania,1988,male,05-14,0,345000.0,0.0
46,Albania,1988,male,55-74,4,140200.0,2.8530670470756063
47,Albania,1988,male,75+,1,22300.0,4.484304932735426
48,Albania,1989,female,15-24,5,299900.0,1.6672224074691564
49,Albania,1989,female,25-34,2,266300.0,0.7510326699211416
50,Albania,1989,female,35-54,7,288600.0,2.4255024255024256
51,Albania,1989,female,05-14,0,321900.0,0.0
52,Albania,1989,female,55-74,1,149600.0,0.6684491978609626
53,Albania,1989,female,75+,0,37000.0,0.0
54,Albania,1989,male,15-24,12,323500.0,3.7094281298299845
55,Albania,1989,male,25-34,18,283600.0,6.346967559943582
56,Albania,1989,male,35-54,15,318400.0,4.711055276381909
57,Albania,1989,male,05-14,0,349700.0,0.0
58,Albania,1989,male,55-74,6,142100.0,4.2223786066150595
59,Albania,1989,male,75+,2,22500.0,8.88888888888889
60,Albania,1990,female,15-24,193,305900.0,13.185093722737907
61,Albania,1990,female,25-34,193,278000.0,13.185093722737907
62,Albania,1990,female,35-54,193,308300.0,13.185093722737907
63,Albania,1990,female,05-14,193,329600.0,13.185093722737907
64,Albania,1990,female,55-74,193,156400.0,13.185093722737907
65,Albania,1990,female,75+,193,37600.0,13.185093722737907
66,Albania,1990,male,15-24,193,325600.0,13.185093722737907
67,Albania,1990,male,25-34,193,295100.0,13.185093722737907
68,Albania,1990,male,35-54,193,337700.0,13.185093722737907
69,Albania,1990,male,05-14,193,355600.0,13.185093722737907
70,Albania,1990,male,55-74,193,149700.0,13.185093722737907
71,Albania,1990,male,75+,193,23200.0,13.185093722737907
72,Albania,1991,female,15-24,193,301100.0,13.185093722737907
73,Albania,1991,female,25-34,193,274700.0,13.185093722737907
74,Albania,1991,female,35-54,193,316500.0,13.185093722737907
75,Albania,1991,female,05-14,193,333300.0,13.185093722737907
76,Albania,1991,female,55-74,193,160800.0,13.185093722737907
77,Albania,1991,female,75+,193,38300.0,13.185093722737907
78,Albania,1991,male,15-24,193,302200.0,13.185093722737907
79,Albania,1991,male,25-34,193,276900.0,13.185093722737907
80,Albania,1991,male,35-54,193,342600.0,13.185093722737907
81,Albania,1991,male,05-14,193,359500.0,13.185093722737907
82,Albania,1991,male,55-74,193,154800.0,13.185093722737907
83,Albania,1991,male,75+,193,23600.0,13.185093722737907
84,Albania,1992,female,15-24,7,292400.0,2.3939808481532148
85,Albania,1992,female,25-34,4,267400.0,1.4958863126402393
86,Albania,1992,female,35-54,2,323100.0,0.6190034045187249
87,Albania,1992,female,05-14,0,336700.0,0.0
88,Albania,1992,female,55-74,1,164900.0,0.6064281382656155
89,Albania,1992,female,75+,0,38700.0,0.0
90,Albania,1992,male,15-24,9,263700.0,3.4129692832764507
91,Albania,1992,male,25-34,7,245500.0,2.8513238289205702
92,Albania,1992,male,35-54,12,343800.0,3.4904013961605584
93,Albania,1992,male,05-14,0,362900.0,0.0
94,Albania,1992,male,55-74,5,159500.0,3.134796238244514
95,Albania,1992,male,75+,0,23900.0,0.0
96,Albania,1993,female,15-24,10,285300.0,3.5050823694356814
97,Albania,1993,female,25-34,7,261800.0,2.6737967914438503
98,Albania,1993,female,35-54,7,331200.0,2.1135265700483092
